A̱o,TME
1980,15.211395851850774
1981,15.161881548787065
1982,14.88840224357109
1983,15.408817646248128
1984,15.218336140102265
1985,15.88510680205779
1986,15.61975901971891
1987,15.352617177674176
1988,15.824880125186661
1989,16.13069827381876
1990,16.477886402189732
1991,16.607983173385943
1992,16.140451728388424
1993,16.531801851343285
1994,16.414383669706115
1995,16.645450605400807
1996,16.887321371661713
1997,16.73228536751271
1998,17.208849504738776
1999,17.574168991934382
2000,16.97535957365644
2001,16.735065555392566
2002,17.163363215010257
2003,17.529947707978508
2004,16.77686338477448
2005,17.100812326956817
2006,16.30468688687642
2007,16.62843409424981
2008,16.35626048464625
2009,16.09449946244134
2010,15.873313324832877
2011,16.066212570929853
2012,16.555991434644927
2013,16.123308439759974
2014,16.433628927175416
2015,17.427287875137456
2016,16.99668096746381
2017,17.524213165488586
2018,17.62418810915012
2019,17.20302790852565
